x z
1301.15 1747.42
1301.14 1747.34
1300.26 1749.47
1300.99 1747.86
1299.96 1749.77
1296.4 1747.63
1298.92 1750.19
1301.3 1745.44
1296.4 1746.77
1300.95 1748.2
1296.69 1745.67
1298.77 1750.11
1296.55 1748.09
1296.47 1746.77
1301.18 1745.38
1297.06 1749.46
1301.15 1745.89
1296.63 1748.48
1301.01 1746.19
1297.86 1749.85
1296.55 1745.07
1297.17 1749.44
1296.42 1746.21
1297.06 1749.44
1301.26 1747.63
1297.46 1749.59
1298.31 1750.14
1297.05 1749.04
1296.55 1745.43
1301.15 1746.67
1301.06 1745.23
1297.49 1749.52
1296.52 1744.9
1301.01 1748.42
1296.67 1748.42
1298.27 1749.88
1300.6 1749.32
1296.8 1745.04
1297.23 1749.3
1297.01 1748.94
1300.74 1749.04
1296.42 1745.05
1300.21 1749.63
1299.04 1749.95
1300.81 1749.05
1300.76 1749.03
1301.23 1744.95
1296.44 1747.33
1300.74 1749.28
1296.67 1748.37
1298.02 1749.98
1298.97 1750.1
1301.04 1746.04
1301.03 1748.45
