x y z state
1295.3 868.365 1745.3 1
1296.04 872.234 1745.71 1
1298.95 861.647 1745.88 1
1298.88 861.864 1745.84 1
1298.82 861.901 1745.82 1
1296.24 875.091 1745.38 1
1301 878.616 1748.07 1
1301.04 878.618 1748.14 1
1301 878.589 1748.12 1
1301.03 878.662 1748.09 1
1295.29 868.375 1746.61 1
1299.92 867.568 1746.11 1
1299.96 867.622 1746.05 1
1299.9 867.655 1746.07 1
1299.93 867.657 1746.09 1
1295.84 872.67 1746.95 1
1295.93 873.287 1745.71 1
1296.49 893.882 1749.67 1
1296.29 874.745 1745.97 1
1295.9 868.604 1748.38 1
1296.11 874.696 1746.25 1
1295.86 872.813 1746.74 1
1295.82 872.802 1746.7 1
1296.19 874.02 1745.74 1
1298.89 862.344 1745.31 1
1298.97 861.679 1745.47 1
1300.6 894.427 1748.22 1
1297.19 893.078 1750.08 1
1295.36 868.404 1746.38 1
1295.39 868.458 1746.39 1
1299 861.83 1745.54 1
1301.14 878.124 1745.62 1
1301.14 878.123 1745.55 1
1295.99 874.14 1746.57 1
1294.77 865.156 1745.61 1
1294.73 865.131 1745.56 1
1294.76 865.113 1745.6 1
1296.16 891.617 1748.27 1
1296.13 891.631 1748.3 1
1298.81 860.827 1746.65 1
1300.74 891.957 1747.8 1
1300.8 891.929 1747.78 1
1298.94 862.54 1745.35 1
1296.33 892.152 1748.16 1
1299.82 866.202 1745.58 1
1296.24 874.596 1745.69 1
1295.52 868.556 1747.65 1
1295.93 893.835 1748.05 1
1298.45 886.204 1749.97 1
1301.1 879.261 1745.4 1
1301.14 879.231 1745.4 1
1296.15 876.055 1747 1
1296.19 876.094 1747.02 1
1299.2 904.986 1746.83 1
1301.02 878.219 1748.12 1
1301.08 877.429 1745.34 1
1301.04 877.373 1745.34 1
1301.04 877.435 1745.34 1
1296.01 872.398 1747.27 1
1299.32 879.243 1749.76 1
1301.08 878.406 1745.58 1
1299.04 862.243 1745.43 1
1295.9 872.84 1745.78 1
1299.52 879.381 1749.59 1
1300.45 894.591 1748.39 1
1295.72 871.548 1745.81 1
