x z pbsig pbstate
1299.66 1749.91 -42.0538 3
1296.93 1749.16 -86.733 3
1296.92 1749.11 504.658 3
1301.2 1747.22 221.932 3
1301.2 1747.28 228.334 3
1301.17 1747.24 1373.79 3
1296.6 1748.4 1030.31 3
1296.65 1748.38 -149.204 3
1296.59 1748.37 -203.461 3
1296.64 1748.35 584.622 3
1296.93 1748.82 80.3148 3
1296.93 1748.85 27.7507 3
1296.96 1748.87 544.664 3
1296.95 1748.86 447.431 3
1296.92 1748.85 -16.3123 3
1296.66 1746.59 216.526 3
1301.04 1748.7 1893.1 3
1297.36 1749.62 453.194 3
1297.34 1749.63 76.3633 3
1296.64 1747.46 -154.513 3
1296.66 1747.51 43.4259 3
1296.63 1747.47 -297.584 3
1296.51 1746.29 126.495 3
1296.44 1746.27 194.624 3
1296.51 1746.3 -144.534 3
1296.47 1746.3 351.174 3
1296.45 1746.3 3744.84 3
1296.47 1746.24 132.534 3
1300.66 1749.32 679.873 3
1300.71 1749.31 1223.68 3
1296.47 1748.37 482.254 3
1296.47 1748.38 -30.3223 3
1296.46 1748.34 630.883 3
1296.49 1748.39 -44.3183 3
